index,afinn_score
1,0
2,1
3,2
4,8
5,1
7,-4
8,1
9,-5
10,-3
11,4
13,4
14,-3
15,-2
16,-2
17,3
18,4
19,1
21,-9
22,2
23,1
25,-3
26,-2
27,-12
28,16
29,1
30,-1
31,-3
32,3
33,2
34,-2
35,3
36,-3
37,-12
38,-6
39,2
40,4
41,-2
42,-2
43,-3
44,-2
45,-2
47,4
48,-2
49,-6
50,-1
51,-2
52,-1
53,-2
54,-7
55,3
57,4
58,-1
59,-7
60,3
61,3
62,4
63,2
64,2
65,-1
66,-1
67,3
68,3
69,-1
70,-2
71,-5
72,12
74,-3
75,4
76,-2
77,-1
78,2
79,4
80,-1
82,5
83,0
84,-2
85,-9
86,-6
87,12
88,6
89,3
90,-2
91,-1
92,-1
93,1
94,0
95,-6
96,-1
97,5
98,-2
99,2
100,-3
101,0
102,-4
103,0
104,-1
105,4
106,1
107,-5
108,-2
109,5
110,-2
111,-5
112,7
113,-8
114,6
115,-3
116,-8
117,2
118,-6
119,3
120,-2
121,2
122,2
123,2
124,-1
125,4
126,-2
128,4
129,1
130,2
131,2
132,-4
133,5
134,-2
135,4
136,8
137,2
138,-2
139,1
140,-8
141,0
142,5
143,1
144,1
145,-1
146,-2
147,4
148,2
149,-4
150,-1
151,-11
152,-1
154,-4
155,1
156,2
157,-2
158,-5
159,-2
160,4
161,0
162,5
163,0
164,-2
165,0
166,1
167,0
169,4
170,-3
171,-6
173,-4
174,5
175,5
176,0
177,5
178,2
179,5
180,5
181,5
182,-2
183,2
184,5
185,-5
186,5
187,1
188,-6
189,0
190,-3
191,0
192,3
193,-4
194,-1
195,-3
196,2
197,3
198,0
199,1
201,-3
202,-1
205,-2
207,-8
208,8
209,3
210,-2
212,0
213,-7
214,1
215,-4
216,-3
218,2
219,5
220,1
221,2
222,3
224,2
225,5
226,-1
227,3
228,-5
229,3
230,2
231,4
232,-2
234,0
235,-5
236,8
237,2
238,-4
240,6
241,-3
242,5
244,-1
245,-1
246,-4
247,-9
248,-3
250,-2
251,2
252,-1
253,3
255,4
256,-2
257,2
258,-5
261,1
262,-1
263,-6
264,0
266,1
267,0
268,-4
269,0
270,0
272,1
273,2
274,-1
275,0
277,-5
278,0
279,0
280,-4
281,-4
282,0
283,0
284,-1
286,1
287,6
288,-1
290,0
291,-4
292,1
294,0
295,-6
296,-6
297,-2
298,5
299,0
300,0
301,-3
303,-1
304,1
306,2
307,-1
309,1
310,5
311,8
312,0
313,3
314,2
315,1
316,-3
317,-2
319,2
320,-8
322,-1
323,-1
326,5
327,-2
329,-3
331,4
332,-5
333,2
335,3
336,5
337,2
338,5
339,-3
340,2
341,-2
342,-2
343,-10
344,2
345,3
346,4
347,2
348,7
350,-1
351,-2
352,1
353,-1
354,3
355,-2
356,-3
357,-2
358,3
359,2
360,3
361,-4
362,1
363,-2
364,2
366,-3
367,-2
368,0
369,2
370,-1
371,-4
372,-1
374,-2
375,8
376,-1
377,-3
379,11
380,-2
381,-2
382,2
383,2
384,1
385,7
386,2
387,0
390,3
391,-6
394,1
395,1
396,-2
397,6
398,2
399,-4
400,1
401,-3
402,1
403,1
404,-15
405,-3
406,2
409,3
410,0
411,-5
413,2
415,0
416,2
417,2
418,3
420,-4
421,-2
422,2
423,-2
424,-3
425,-7
426,-2
429,-2
431,2
432,2
433,2
434,-1
