index,bing_neg,bing_pos
1,2,2
2,1,1
3,1,1
4,0,4
5,0,1
6,0,1
7,2,0
8,0,2
9,2,0
10,1,0
11,0,3
12,1,1
13,0,2
14,1,0
15,2,1
16,2,2
17,1,2
18,0,2
19,1,1
21,2,0
22,2,1
25,2,0
26,1,0
27,4,1
28,2,6
30,0,1
31,4,2
32,0,3
33,1,1
34,2,1
35,0,1
37,5,0
39,3,2
40,0,2
41,1,0
42,1,1
43,1,0
44,1,0
45,1,0
47,0,2
48,0,1
49,2,0
50,1,1
51,2,0
53,2,0
54,2,1
55,1,1
57,0,1
58,4,2
59,5,0
61,1,1
62,0,1
63,1,0
64,1,2
67,1,3
68,2,2
69,4,0
70,5,2
71,2,1
72,0,6
73,0,1
74,3,2
75,1,0
76,2,1
77,3,3
78,0,1
79,1,3
80,0,1
81,0,1
82,0,2
83,3,0
85,1,1
86,4,0
87,0,3
88,0,1
89,0,3
90,1,0
91,1,0
92,1,1
93,0,1
94,0,2
95,3,0
96,2,2
97,2,1
98,3,1
99,0,1
100,1,0
101,1,1
102,1,1
103,0,2
104,1,0
105,2,4
106,2,1
107,1,0
108,1,0
109,0,2
110,0,1
111,2,0
112,0,3
113,2,0
114,0,4
115,1,0
116,2,0
117,1,2
118,3,0
119,0,3
121,1,2
122,1,2
123,0,1
124,1,1
126,1,0
127,1,0
128,0,2
129,1,0
130,0,2
131,2,5
132,3,2
133,0,3
134,0,1
135,0,1
136,1,2
137,1,3
138,1,0
139,0,2
140,5,0
141,3,3
142,3,3
144,1,4
145,1,1
146,1,0
148,0,1
149,2,2
150,2,1
151,3,0
152,1,0
153,1,1
154,2,0
155,1,1
157,1,2
158,2,1
159,1,1
160,0,1
162,1,4
163,1,2
164,1,2
165,1,1
169,0,2
170,2,0
171,3,1
172,1,1
173,4,0
174,0,2
175,0,2
176,0,1
177,0,2
178,0,1
179,0,2
180,0,2
181,0,2
182,1,0
183,0,2
184,0,2
185,1,1
186,0,2
187,3,0
188,1,0
189,0,1
190,2,1
191,1,0
192,0,1
193,1,0
195,1,0
196,2,3
197,0,1
198,1,1
199,2,1
201,1,0
202,1,0
204,1,1
205,1,2
206,1,1
207,4,1
208,1,1
209,0,2
210,2,0
212,1,2
213,2,0
214,2,2
215,2,1
216,1,0
218,0,4
219,0,1
220,2,0
221,1,2
222,0,1
224,0,2
225,0,2
226,1,1
227,1,5
229,0,2
230,0,3
231,0,1
232,1,1
234,0,1
235,2,0
236,1,2
237,0,3
238,1,0
239,2,0
240,2,4
241,0,1
242,1,4
243,1,0
245,2,1
246,1,1
247,2,1
248,2,1
250,2,0
251,1,0
252,1,0
253,1,0
255,2,2
256,3,0
257,1,1
258,2,0
259,0,1
260,0,1
261,0,1
263,2,1
264,0,1
265,0,1
266,0,1
268,3,0
271,0,1
272,1,0
273,0,4
274,1,1
275,1,2
277,3,1
278,1,2
279,1,2
280,2,0
281,2,0
282,1,2
283,1,2
284,0,1
287,1,3
288,1,0
289,1,0
290,0,1
292,1,1
294,1,2
295,1,0
296,1,0
298,2,4
299,1,2
300,1,2
301,0,4
302,1,1
304,0,2
305,0,2
307,2,0
309,0,3
310,0,2
311,1,7
312,4,0
313,0,1
314,0,2
316,1,1
317,1,2
318,1,0
319,1,1
320,4,0
323,1,1
325,1,1
326,0,3
327,1,0
328,1,1
329,1,1
330,1,0
331,2,1
332,2,1
333,0,2
335,3,5
336,2,5
337,2,3
338,2,2
339,3,0
340,0,1
341,1,0
342,1,0
343,4,1
344,0,4
345,0,2
346,2,1
347,1,2
348,0,4
350,1,2
351,1,1
352,3,0
354,1,1
355,2,1
356,6,2
357,2,0
358,2,0
359,0,1
360,2,3
361,1,1
362,0,1
363,1,1
364,1,2
366,1,0
367,2,1
368,2,1
369,1,1
370,0,1
371,3,0
372,1,1
374,1,1
375,1,2
377,1,1
379,1,4
380,2,0
381,2,0
382,0,1
383,0,1
384,0,2
385,0,5
386,0,1
387,2,0
388,0,1
389,0,1
390,1,3
391,2,0
393,1,0
394,1,2
396,2,3
397,2,1
398,0,3
399,3,1
400,3,2
401,2,1
402,1,3
403,1,1
404,4,1
405,2,0
406,1,1
409,1,2
410,4,1
411,2,1
412,0,1
413,0,1
414,0,1
415,3,2
416,1,2
417,0,1
418,1,2
420,2,0
421,2,0
422,0,1
423,1,1
424,2,2
425,3,1
426,2,0
427,0,1
430,0,1
431,0,1
432,0,1
433,0,1
434,1,1
435,0,1
436,0,1
437,0,3
438,5,0
439,0,1
441,0,1
442,3,2
443,2,2
445,1,2
446,4,4
448,0,1
449,1,0
450,1,1
451,1,1
453,2,1
454,2,1
455,2,1
456,2,1
458,4,1
459,2,0
460,3,0
461,0,1
462,0,1
463,2,1
464,2,2
465,1,0
466,0,1
468,4,1
469,2,1
470,2,0
471,0,1
472,0,1
473,1,2
474,0,1
477,5,2
478,0,5
480,0,1
481,0,2
482,0,1
483,1,0
484,0,1
485,2,0
487,0,1
488,1,1
490,0,1
491,1,1
492,2,1
493,3,3
494,2,1
495,0,1
498,2,2
499,1,3
500,2,0
501,0,1
502,1,0
503,1,2
504,1,1
505,0,2
506,1,0
508,2,0
510,1,0
511,2,0
512,0,1
513,2,1
514,2,0
515,1,1
516,4,0
517,3,3
519,1,2
521,0,2
523,1,0
525,1,1
526,1,2
527,3,2
528,2,0
529,2,0
531,3,0
532,5,1
533,3,1
534,1,1
537,0,1
538,1,0
539,0,1
542,2,0
543,2,0
544,0,2
545,3,1
546,0,1
547,0,1
548,2,2
549,0,2
550,0,1
551,1,3
553,0,2
554,0,1
555,0,1
556,1,1
557,4,0
558,3,0
559,0,1
561,1,1
562,0,1
563,2,0
565,1,0
566,2,4
568,0,5
569,1,1
570,1,4
572,0,1
573,3,1
574,2,1
575,1,0
577,4,1
578,0,1
579,1,0
581,1,0
582,2,1
583,0,1
584,1,4
586,0,1
587,4,0
589,3,1
590,2,0
591,3,1
592,5,0
593,0,1
594,5,0
595,1,1
596,1,0
597,1,1
598,1,1
