index,nrc_anger,nrc_anticipation,nrc_disgust,nrc_fear,nrc_joy,nrc_negative,nrc_positive,nrc_sadness,nrc_surprise,nrc_trust
1,1,0,1,1,1,0,2,1,0,1
2,1,1,1,2,0,3,2,2,0,1
3,1,0,0,1,0,1,0,1,0,0
4,0,1,0,1,3,1,6,0,0,3
5,1,1,0,1,0,2,2,1,0,0
6,0,1,0,0,1,0,2,0,2,2
7,1,1,0,1,0,1,2,1,0,1
8,1,1,0,1,0,1,2,0,0,3
9,2,0,0,2,0,2,0,0,0,0
10,0,0,0,0,0,0,2,0,0,2
11,0,0,0,0,0,0,3,0,0,1
13,1,1,1,1,1,0,3,0,0,2
14,0,0,0,0,1,0,2,0,0,1
15,1,0,0,1,0,2,1,0,0,1
16,0,2,0,0,2,1,3,0,0,3
17,0,0,0,0,0,1,2,0,0,1
18,0,0,0,0,1,0,1,0,0,1
19,2,1,1,3,1,5,1,2,1,1
20,0,2,0,0,1,1,1,0,0,1
21,0,1,0,1,0,2,2,1,1,1
22,1,0,0,0,0,2,2,1,0,3
25,1,0,1,1,0,2,2,2,0,2
26,1,0,1,0,0,1,0,1,0,0
27,1,1,1,3,0,3,2,2,0,1
28,0,4,1,1,1,1,4,0,0,4
29,0,0,0,0,0,0,0,0,0,1
31,1,1,0,0,1,2,2,0,0,2
32,0,0,0,0,0,0,0,0,0,1
33,1,0,0,1,1,1,2,1,0,1
34,1,2,1,2,1,4,1,2,1,1
35,1,2,0,2,1,1,1,1,0,0
36,0,0,0,0,0,1,0,0,0,1
37,3,2,2,3,1,4,3,3,1,0
38,1,0,0,0,0,1,1,0,0,0
39,0,1,0,1,0,1,0,0,0,0
40,0,1,0,1,1,1,3,0,2,2
41,1,1,0,0,0,0,0,0,0,0
42,2,1,2,1,0,2,2,2,0,1
43,0,0,0,0,0,0,2,0,0,1
44,1,0,0,1,0,1,0,1,0,1
45,0,0,1,0,0,1,0,0,0,0
46,0,0,0,0,1,0,1,0,0,3
47,0,1,0,1,0,0,3,0,0,0
48,1,0,0,1,0,1,2,0,0,0
49,0,1,1,1,0,1,0,0,0,0
50,3,2,3,3,2,4,3,2,2,5
53,0,0,0,0,0,0,0,0,1,0
54,1,0,1,1,0,2,1,1,0,1
56,0,1,0,0,1,1,1,0,0,0
57,0,1,0,1,0,0,5,0,0,2
58,2,0,0,1,0,4,1,2,0,0
59,3,0,1,2,0,5,0,3,0,0
60,0,0,0,0,1,0,1,0,0,1
61,1,0,0,0,0,0,4,0,0,3
62,0,1,0,0,1,0,1,0,0,0
63,1,0,1,1,0,1,0,0,0,1
64,0,2,0,2,2,1,2,0,1,2
65,1,0,0,2,0,1,0,0,0,0
66,1,0,0,1,0,1,0,0,0,0
67,0,1,0,0,3,1,3,0,0,0
68,1,2,1,1,2,2,3,3,1,3
69,1,0,1,1,0,3,0,1,0,0
70,4,2,2,4,0,4,2,2,2,1
71,0,0,0,0,0,1,0,0,0,0
72,0,0,0,0,0,0,2,0,0,0
73,0,0,0,0,0,0,1,0,0,0
74,1,0,0,4,1,4,3,0,0,5
75,0,0,0,0,0,0,1,0,0,0
76,1,1,0,2,1,1,1,1,1,0
77,3,2,1,2,1,5,3,4,1,2
78,0,0,0,0,1,0,3,0,0,0
79,2,2,0,1,2,2,4,0,0,1
80,0,1,0,0,1,0,3,0,0,1
81,1,1,0,0,1,2,5,1,0,1
82,0,0,0,0,0,0,3,0,0,1
83,0,0,0,1,0,2,2,1,0,2
84,0,1,2,3,0,3,1,2,0,2
85,4,1,4,0,0,5,0,3,0,1
86,5,2,1,3,0,5,2,2,0,1
87,0,1,0,1,1,0,2,0,1,1
88,0,2,0,0,3,0,3,0,1,4
89,0,1,0,1,2,1,5,0,1,2
90,1,0,0,1,0,1,0,1,1,1
91,1,0,0,1,0,1,0,0,0,0
92,1,2,0,1,1,3,3,1,0,2
93,0,0,0,0,0,0,1,0,0,0
94,1,0,0,0,0,2,1,0,0,3
95,2,1,0,3,2,3,4,2,1,3
96,1,0,1,1,0,2,2,1,0,1
97,1,0,1,2,0,1,3,2,0,0
98,0,1,0,1,3,1,4,0,0,2
99,2,0,0,1,0,2,2,0,0,2
100,0,2,0,1,0,2,0,1,0,0
101,1,1,1,1,1,2,1,1,1,1
102,1,2,1,1,0,1,1,1,0,1
103,1,0,1,0,0,1,4,1,0,0
104,0,0,0,1,0,1,0,0,1,0
105,2,0,3,1,0,4,1,2,0,1
106,2,0,2,1,0,3,3,1,0,0
107,0,1,0,2,0,2,0,0,1,1
108,0,0,0,1,0,1,0,1,0,0
109,0,0,0,0,2,0,3,0,0,1
110,0,0,1,1,0,2,0,2,0,0
111,1,2,0,2,1,1,2,0,1,2
112,0,0,0,1,0,1,4,0,0,1
113,0,0,0,0,0,2,0,0,0,3
114,0,1,0,0,0,0,4,0,0,3
115,2,0,0,1,0,2,0,2,0,0
116,2,1,1,2,0,2,5,2,0,1
117,0,0,0,0,1,1,1,1,1,1
118,2,1,1,2,1,3,2,2,0,0
119,0,0,0,0,0,0,1,0,0,0
120,0,1,0,0,1,1,2,0,0,1
121,1,2,0,2,2,1,5,1,0,3
122,1,2,0,2,2,1,5,1,0,3
123,0,1,0,0,0,1,0,0,0,0
125,0,0,0,0,0,0,1,0,0,1
126,1,0,0,0,0,2,0,0,1,0
128,0,1,0,0,2,0,2,0,0,1
129,1,2,0,1,1,1,3,2,1,2
130,0,0,0,0,0,0,1,0,0,2
131,2,4,2,1,2,2,4,2,2,3
132,1,1,2,1,2,2,2,2,1,2
133,0,3,0,0,3,1,5,0,1,5
134,1,1,0,1,0,1,0,0,0,0
135,0,2,0,0,1,0,2,0,0,1
136,0,0,0,0,0,0,2,0,0,1
137,0,1,0,0,0,0,2,0,0,1
138,0,0,0,0,0,1,0,0,0,0
139,1,0,0,0,0,1,0,0,0,0
140,3,4,1,1,2,4,4,3,2,3
141,0,1,0,0,1,2,4,2,1,2
142,1,1,1,0,1,1,4,1,0,2
143,0,0,0,0,0,0,1,0,0,0
144,1,1,0,1,1,1,4,1,1,1
145,0,0,0,1,0,0,4,0,0,1
146,1,3,2,2,3,2,5,2,0,5
147,0,1,0,0,4,0,4,0,1,1
148,0,1,0,0,0,0,0,0,0,2
149,1,1,1,1,0,1,1,1,0,1
150,0,2,0,0,1,0,1,0,0,1
151,2,0,2,0,0,4,2,0,0,1
152,0,1,0,0,0,2,0,0,0,0
153,0,0,1,0,0,1,0,0,0,1
154,1,1,2,1,0,3,1,1,0,1
155,0,0,0,0,0,1,0,1,0,0
156,0,0,0,0,0,0,3,0,0,1
157,0,1,0,1,0,0,2,0,0,0
158,1,1,1,1,0,2,1,2,0,0
159,0,0,0,0,0,1,0,0,0,0
160,1,0,0,0,0,1,3,1,0,2
161,0,0,0,0,0,1,4,0,0,1
162,2,0,1,1,0,2,1,2,0,1
164,0,0,0,0,0,0,0,0,0,3
165,0,1,0,0,1,1,2,0,0,1
167,0,0,0,0,0,0,0,0,0,1
168,0,1,0,0,0,1,0,0,0,1
169,1,0,0,0,0,1,4,0,0,0
170,1,0,1,1,0,1,2,1,0,0
171,0,1,0,2,0,1,2,1,0,1
173,1,1,1,1,1,2,1,1,0,1
174,0,1,0,0,0,1,4,0,0,2
175,0,1,0,0,0,1,4,0,0,2
176,2,1,1,0,1,2,1,0,0,1
177,0,1,0,0,0,1,4,0,0,2
178,0,1,0,0,1,0,2,0,0,0
179,0,1,0,0,0,1,4,0,0,2
180,0,1,0,0,0,1,4,0,0,2
181,0,1,0,0,0,1,4,0,0,2
182,1,1,0,2,1,1,1,0,1,0
183,1,0,0,0,1,1,2,0,0,2
184,0,1,0,0,0,1,4,0,0,2
185,2,1,1,0,1,2,1,0,0,2
186,0,1,0,0,0,1,4,0,0,2
187,0,1,0,0,0,2,2,1,0,0
188,1,0,2,0,0,2,0,1,0,0
189,0,0,0,0,0,1,0,0,0,1
